City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Punta Arenas,CL,55.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
5,Hermanus,ZA,64.99,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Airai,TL,59.4,scattered clouds,-8.9266,125.4092,Juvinal Martin
16,Sayyan,YE,60.62,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
20,New Norfolk,AU,60.8,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
21,Zhezkazgan,KZ,50.97,overcast clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
23,Hobart,AU,60.8,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
34,Port Alfred,ZA,66.31,overcast clouds,-33.5906,26.891,The Halyards Hotel
36,Waterloo,CA,66.0,clear sky,43.4668,-80.5164,Comfort Inn
38,Busselton,AU,60.01,overcast clouds,-33.65,115.3333,Observatory Guest House
41,Albany,US,66.99,scattered clouds,42.6001,-73.9662,
42,Kahului,US,69.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
49,Fortuna,US,51.01,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
50,San Jeronimo,PE,60.49,light rain,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
61,East London,ZA,64.4,scattered clouds,-33.0153,27.9116,Tu Casa
63,Hasaki,JP,52.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
72,Cape Town,ZA,66.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
79,Havre-Saint-Pierre,CA,53.6,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
84,Saint George,US,68.0,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
93,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
99,Hilo,US,66.2,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
