City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Banda Aceh,ID,5.5577,95.3222,79.59,80,100,5.64,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,55.4,67,0,11.5,clear sky
2,Victoria,HK,22.2855,114.1577,73.0,83,99,1.01,overcast clouds
3,Nikolskoye,RU,59.7035,30.7861,42.01,70,0,6.71,clear sky
4,Bayonet Point,US,28.3267,-82.6834,80.01,47,16,5.01,few clouds
5,Hermanus,ZA,-34.4187,19.2345,64.99,83,71,1.99,broken clouds
6,Cairns,AU,-16.9167,145.7667,78.8,83,99,1.14,overcast clouds
7,Kapaa,US,22.0752,-159.319,71.6,68,40,19.57,light rain
8,Jamestown,US,42.097,-79.2353,73.99,56,1,6.91,clear sky
9,Penzance,GB,50.1186,-5.5371,46.4,53,20,13.8,few clouds
10,Porangatu,BR,-13.4408,-49.1486,87.17,53,93,3.36,overcast clouds
11,Voyvozh,RU,62.892,54.9635,33.48,88,100,4.56,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,46.4,93,75,4.61,moderate rain
13,Alofi,NU,-19.0595,-169.9187,75.2,100,23,3.44,few clouds
14,Airai,TL,-8.9266,125.4092,59.4,92,37,0.98,scattered clouds
15,Gigmoto,PH,13.7796,124.39,76.12,82,52,9.42,broken clouds
16,Sayyan,YE,15.1718,44.3244,60.62,13,4,7.43,clear sky
17,Yellowknife,CA,62.456,-114.3525,19.0,73,90,16.11,snow
18,Cherskiy,RU,68.75,161.3,-27.27,99,78,4.43,broken clouds
19,Villamontes,BO,-21.25,-63.5,87.8,58,40,5.75,scattered clouds
20,New Norfolk,AU,-42.7826,147.0587,60.8,67,75,9.22,light rain
21,Zhezkazgan,KZ,47.8043,67.7144,50.97,59,91,9.55,overcast clouds
22,San Patricio,US,28.017,-97.5169,80.01,78,90,11.5,overcast clouds
23,Hobart,AU,-42.8794,147.3294,60.8,67,75,9.22,broken clouds
24,Leander,US,30.5788,-97.8531,82.4,47,75,8.05,broken clouds
25,Aripuana,BR,-9.1667,-60.6333,89.56,55,53,0.89,broken clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,8.05,light snow
27,Lorengau,PG,-2.0226,147.2712,79.99,84,100,17.07,moderate rain
28,Qaanaaq,GL,77.484,-69.3632,3.25,72,51,9.46,broken clouds
29,Baykit,RU,61.67,96.37,25.21,98,93,2.1,overcast clouds
30,Upernavik,GL,72.7868,-56.1549,8.96,86,24,6.13,few clouds
31,Port Blair,IN,11.6667,92.75,81.41,69,81,2.59,broken clouds
32,Fare,PF,-16.7,-151.0167,80.06,69,47,10.96,light rain
33,Tefe,BR,-3.3542,-64.7114,86.0,84,75,10.36,broken clouds
34,Port Alfred,ZA,-33.5906,26.891,66.31,93,95,13.18,overcast clouds
35,Atambua,ID,-9.1061,124.8925,72.7,86,21,2.57,few clouds
36,Waterloo,CA,43.4668,-80.5164,66.0,34,1,12.66,clear sky
37,Saint-Francois,FR,46.4154,3.9054,46.4,31,0,2.3,clear sky
38,Busselton,AU,-33.65,115.3333,60.01,82,91,1.99,overcast clouds
39,Tselinnoye,RU,53.0833,85.6667,30.02,89,93,7.31,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,40,9.22,scattered clouds
41,Albany,US,42.6001,-73.9662,66.99,34,39,4.0,scattered clouds
42,Kahului,US,20.8947,-156.47,69.8,78,40,18.41,scattered clouds
43,Rikitea,PF,-23.1203,-134.9692,76.64,61,0,7.38,clear sky
44,Faanui,PF,-16.4833,-151.75,80.94,71,85,14.34,overcast clouds
45,Atuona,PF,-9.8,-139.0333,80.82,73,46,16.2,scattered clouds
46,Port Hardy,CA,50.6996,-127.4199,41.0,87,75,5.75,light rain
47,Anchorage,US,61.2181,-149.9003,21.0,53,1,3.71,clear sky
48,Raudeberg,NO,61.9875,5.1352,34.0,87,100,15.17,light snow
49,Fortuna,US,40.5982,-124.1573,51.01,87,90,6.91,overcast clouds
50,San Jeronimo,PE,-11.9472,-75.2829,60.49,55,77,2.44,light rain
51,Gryazi,RU,52.4966,39.9359,49.14,88,100,21.65,heavy intensity rain
52,Barrow,US,71.2906,-156.7887,-18.4,69,75,11.5,haze
53,Saskylakh,RU,71.9167,114.0833,-0.31,97,100,5.17,overcast clouds
54,Longyearbyen,SJ,78.2186,15.6401,24.8,80,90,24.16,snow
55,Hithadhoo,MV,-0.6,73.0833,82.69,67,93,8.57,overcast clouds
56,Atar,MR,20.5169,-13.0499,95.88,10,15,14.67,few clouds
57,Carnarvon,AU,-24.8667,113.6333,77.0,73,72,17.27,broken clouds
58,Adrar,MR,20.5022,-10.0711,94.28,10,22,6.15,few clouds
59,Zakamensk,RU,50.3741,103.2863,37.33,38,15,2.24,few clouds
60,Hamilton,US,39.1834,-84.5333,80.01,41,1,8.05,clear sky
61,East London,ZA,-33.0153,27.9116,64.4,88,40,5.75,scattered clouds
62,Norman Wells,CA,65.282,-126.8329,-4.0,71,75,8.05,broken clouds
63,Hasaki,JP,35.7333,140.8333,52.0,87,75,6.91,broken clouds
64,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,94,75,13.8,broken clouds
65,Torbay,CA,47.6666,-52.7314,39.2,100,90,6.91,light rain
66,Guerrero Negro,MX,27.9769,-114.0611,70.54,54,92,12.03,overcast clouds
67,Okhotsk,RU,59.3833,143.3,7.75,95,100,4.68,overcast clouds
68,Severo-Kurilsk,RU,50.6789,156.125,31.28,90,100,32.19,overcast clouds
69,Coahuayana,MX,18.7333,-103.6833,82.4,36,1,7.85,clear sky
70,Charters Towers,AU,-20.1,146.2667,71.42,79,27,5.26,scattered clouds
