City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,La Tuque,CA,2021-04-07 19:35:10,47.4334,-72.7824,66.2,39,39,5.75
1,Cabo San Lucas,MX,2021-04-07 19:32:33,22.8909,-109.9124,82.4,65,75,8.05
2,Arraial Do Cabo,BR,2021-04-07 19:30:18,-22.9661,-42.0278,75.2,78,40,5.75
3,Butaritari,KI,2021-04-07 19:34:36,3.0707,172.7902,80.82,79,19,11.95
4,Ushuaia,AR,2021-04-07 19:30:50,-54.8,-68.3,50.0,87,40,1.81
5,Saint Anthony,US,2021-04-07 19:35:10,45.0205,-93.218,66.99,82,90,9.22
6,Albany,US,2021-04-07 19:34:37,42.6001,-73.9662,68.0,33,17,7.83
7,Saint George,US,2021-04-07 19:35:11,37.1041,-113.5841,73.99,10,60,2.46
8,Gwanda,ZW,2021-04-07 19:34:14,-20.9333,29.0,61.36,60,3,6.6
9,Atuona,PF,2021-04-07 19:30:57,-9.8,-139.0333,80.82,72,13,15.39
10,Rikitea,PF,2021-04-07 19:34:38,-23.1203,-134.9692,76.73,61,1,7.65
11,Kurayoshi,JP,2021-04-07 19:35:11,35.4333,133.8167,42.8,87,40,6.91
12,Tasiilaq,GL,2021-04-07 19:35:12,65.6145,-37.6368,19.4,68,20,12.66
13,Smirnykh,RU,2021-04-07 19:35:12,49.75,142.8333,24.06,95,100,2.53
14,Bluff,NZ,2021-04-07 19:34:40,-46.6,168.3333,44.01,96,39,1.01
15,Yellowknife,CA,2021-04-07 19:30:40,62.456,-114.3525,19.4,68,90,18.41
16,Ilulissat,GL,2021-04-07 19:30:55,69.2167,-51.1,21.2,58,20,4.61
17,Cape Town,ZA,2021-04-07 19:34:34,-33.9258,18.4232,64.99,88,0,14.97
18,Dikson,RU,2021-04-07 19:35:13,73.5069,80.5464,2.84,84,100,3.15
19,Hithadhoo,MV,2021-04-07 19:34:48,-0.6,73.0833,82.33,68,48,10.22
20,Castro,BR,2021-04-07 19:34:50,-24.7911,-50.0119,67.39,73,94,8.97
21,Qaanaaq,GL,2021-04-07 19:34:30,77.484,-69.3632,2.82,70,69,8.14
22,Yar-Sale,RU,2021-04-07 19:35:13,66.8333,70.8333,2.41,100,98,1.1
23,Benghazi,LY,2021-04-07 19:35:14,32.1167,20.0667,62.4,62,88,2.51
24,Jamestown,US,2021-04-07 19:32:44,42.097,-79.2353,73.99,49,1,10.36
25,West Bay,KY,2021-04-07 19:35:14,19.3667,-81.4167,82.4,74,20,13.8
26,Georgetown,MY,2021-04-07 19:31:28,5.4112,100.3354,80.6,89,20,2.3
27,Hofn,IS,2021-04-07 19:35:14,64.2539,-15.2082,28.4,74,90,18.41
28,Port-Cartier,CA,2021-04-07 19:35:15,50.0334,-66.8654,53.6,54,40,10.36
29,Victoria,HK,2021-04-07 19:34:47,22.2855,114.1577,73.0,83,100,1.99
30,Metro,ID,2021-04-07 19:35:15,-5.1131,105.3067,74.12,84,100,3.87
31,Saint-Augustin,CA,2021-04-07 19:35:15,51.226,-58.6502,41.04,96,100,10.38
32,Busselton,AU,2021-04-07 19:34:40,-33.65,115.3333,60.01,79,58,1.01
33,Bambous Virieux,MU,2021-04-07 19:35:16,-20.3428,57.7575,80.6,78,75,11.5
34,Bandarbeyla,SO,2021-04-07 19:35:16,9.4942,50.8122,78.33,60,28,7.85
35,Vaini,TO,2021-04-07 19:35:17,-21.2,-175.2,68.0,94,20,3.44
36,Macon,US,2021-04-07 19:35:17,39.8667,-88.9668,77.0,53,40,21.85
37,New Norfolk,AU,2021-04-07 19:30:41,-42.7826,147.0587,59.0,67,94,11.5
38,Kapaa,US,2021-04-07 19:30:40,22.0752,-159.319,69.8,78,75,23.02
39,Hermanus,ZA,2021-04-07 19:34:32,-34.4187,19.2345,62.01,88,12,1.01
40,Tongchuan,CN,2021-04-07 19:35:17,35.0806,109.0897,49.3,75,28,3.65
41,Ancud,CL,2021-04-07 19:35:18,-41.8697,-73.8203,64.0,82,75,10.36
42,Nampula,MZ,2021-04-07 19:35:18,-15.1165,39.2666,71.6,88,75,9.22
43,Huntington,US,2021-04-07 19:35:18,38.4193,-82.4452,84.99,32,75,5.75
44,Torbay,CA,2021-04-07 19:35:19,47.6666,-52.7314,39.0,100,90,8.05
45,Kiruna,SE,2021-04-07 19:35:19,67.8557,20.2251,24.8,80,20,3.44
46,Djambala,CG,2021-04-07 19:34:51,-2.5447,14.7533,73.36,79,98,4.12
47,Nikolskoye,RU,2021-04-07 19:35:19,59.7035,30.7861,36.0,86,0,4.47
48,Azle,US,2021-04-07 19:35:20,32.8951,-97.5459,77.0,25,20,20.71
49,Pisco,PE,2021-04-07 19:35:20,-13.7,-76.2167,75.99,64,0,12.66
50,Nadadores,MX,2021-04-07 19:35:20,27.05,-101.6,93.2,10,40,5.75
51,Punta Cardon,VE,2021-04-07 19:35:20,11.6581,-70.215,82.56,66,99,26.71
52,Serebryansk,KZ,2021-04-07 19:35:21,49.6925,83.2892,35.6,93,75,4.47
53,Clyde River,CA,2021-04-07 19:35:21,70.4692,-68.5914,10.4,85,90,5.75
54,Pangnirtung,CA,2021-04-07 19:35:21,66.1451,-65.7125,30.2,80,90,21.85
55,Mataura,NZ,2021-04-07 19:34:39,-46.1927,168.8643,44.01,96,59,1.01
56,Dingle,PH,2021-04-07 19:34:43,10.9995,122.6711,73.9,88,28,5.79
57,Chuy,UY,2021-04-07 19:35:22,-33.6971,-53.4616,75.7,70,7,14.63
58,Tocopilla,CL,2021-04-07 19:31:53,-22.092,-70.1979,73.67,67,96,13.29
59,Geraldton,AU,2021-04-07 19:35:22,-28.7667,114.6,71.6,78,75,20.71
60,Cayenne,GF,2021-04-07 19:35:22,4.9333,-52.3333,78.8,89,75,4.61
61,Avarua,CK,2021-04-07 19:31:15,-21.2078,-159.775,80.6,69,90,6.91
62,Norman Wells,CA,2021-04-07 19:35:23,65.282,-126.8329,3.2,60,75,6.91
63,Maiduguri,NG,2021-04-07 19:35:23,11.8464,13.1603,89.6,13,100,10.11
64,Mehamn,NO,2021-04-07 19:35:23,71.0357,27.8492,33.8,75,75,16.11
65,Bredasdorp,ZA,2021-04-07 19:34:30,-34.5322,20.0403,62.6,88,48,1.14
66,Magaria,NE,2021-04-07 19:35:24,12.9983,8.9099,89.38,11,99,5.32
67,East London,ZA,2021-04-07 19:34:33,-33.0153,27.9116,66.2,82,75,4.61
68,Kavieng,PG,2021-04-07 19:34:48,-2.5744,150.7967,80.67,81,98,15.23
69,Nemuro,JP,2021-04-07 19:35:24,43.3236,145.575,31.53,85,13,9.17
70,Vila Franca Do Campo,PT,2021-04-07 19:35:25,37.7167,-25.4333,59.0,94,75,17.27
71,Carnarvon,AU,2021-04-07 19:34:52,-24.8667,113.6333,75.2,73,69,19.57
72,Jian,CN,2021-04-07 19:35:25,27.1172,114.9793,58.69,88,100,8.75
73,Puerto Ayora,EC,2021-04-07 19:34:35,-0.7393,-90.3518,82.4,74,75,9.22
74,Bambanglipuro,ID,2021-04-07 19:35:25,-7.95,110.2833,78.55,87,100,9.42
75,Acarau,BR,2021-04-07 19:35:26,-2.8856,-40.12,81.57,77,100,15.01
76,Banda Aceh,ID,2021-04-07 19:35:26,5.5577,95.3222,79.23,81,98,7.16
77,Sitka,US,2021-04-07 19:35:26,57.0531,-135.33,35.6,80,40,12.66
78,Ust-Nera,RU,2021-04-07 19:35:27,64.5667,143.2,3.67,96,100,4.79
79,Punta Arenas,CL,2021-04-07 19:30:41,-53.15,-70.9167,57.2,51,0,18.41
80,Noumea,NC,2021-04-07 19:35:27,-22.2763,166.4572,78.01,83,90,4.61
81,Hamilton,US,2021-04-07 19:35:27,39.1834,-84.5333,82.0,38,75,12.66
82,Te Anau,NZ,2021-04-07 19:35:28,-45.4167,167.7167,44.42,90,12,0.31
